sensor_id,timestamp,observed_value,power_matrix,spatial_displacement,row_hash
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:00,0.4,1.2,0.01,ad3a703417867698644582742c4464d7403eb7921097cf3fa1cd279561de4d59
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:05,0.4,1.2,0.01,d1584bbfdb1a902955d58f7a42d398f0111ecf917c4dc78a819e60940dc7c8a5
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:10,0.4,1.2,0.01,99468aa4dd9b21beb216671ed7d3c1e9690c8b0c4efee3e791c2fe52df442574
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:15,0.4,1.2,0.01,bb116a3637382ac6eda1d584018fa5729fa67706a74dc05a5de7c83eea9e358f
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:20,0.4,1.2,0.01,3b4cded7129794ca4ebef7fa2ce0e49e219bb07863779b2cdf2e71192d31c62c
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:25,0.4,1.2,0.01,e6c445e94f08fc80fd0dd7a1a1d5fa105916faf5fefb0086d20d5c059e586634
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:30,0.4,1.2,0.01,be5e971bbf36f9c7d0166faf9b76df4b7429e1aa4f369754087d1d7e6f426514
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:35,0.4,1.2,0.01,8e9ba1cc3f305811e4ad0a3c9345ab27f81f0ebf1c4b5cf32381d012aca46305
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:40,0.4,1.2,0.01,71034a310ba23a14e9cfcc58b43d38b9206c6c022486ea5d51fe2eda209ec757
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:45,0.4,1.2,0.01,4eead242ef86e2d4c2f6b086462d4bdf99c6775f9a2296119f990ff8c1764e4b
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:50,0.4,1.2,0.01,837811f960e06d857454faed6f918a7abb57fa7e2b2822d97489322fad9d6b2a
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:00:55,0.4,1.2,0.01,442e037adba225438bc05655aea586d9d8316fe0ad5c6cb6abdd9357a3737f28
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:00,0.4,1.2,0.01,6d702a0ae8c6410da0cfdcfcaa07d4ca7b8000aac4849489654065451ab56747
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:05,0.4,1.2,0.01,cc573fff74ead58105f3c7fd35c53feeffa9c08c2b81e32c76da68ea5cf50a7b
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:10,0.4,1.2,0.01,a2d47fd814a7fceac79586104775e4a98999a2911690c5609fc59fa1b2abb65b
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:15,0.4,1.2,0.01,1d3dc30487fa2059e580f1347fb8ab8545884979967785d4ac5fcd4475084ae9
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:20,0.4,1.2,0.01,4ef94988d8439229ad2f6b00db3a4e353f3508a6c298414092ee5e06ee70b055
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:25,0.4,1.2,0.01,d937b26d8563481a67fb021eb12c714da206af865948789d95d78e1d5e979954
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:30,0.4,1.2,0.01,985328e1bbea0c8627792c1a82d8e4ce28eef9da001ddd7168792f2269a19fc9
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:35,0.4,1.2,0.01,74b04732465ac341614b292ed50c0c6998aa00898d6411af8cd5adc7a0d556e0
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:40,0.4,1.2,0.01,2c87d170e8c5d2b0975ec6567eb1fb39952f726953054de634041edd11bc954f
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:45,0.4,1.2,0.01,27ac78a7ae0013499ec7c3d68ce5c4aaabeb84aef683522b443cd27e9ac2bdf5
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:50,0.4,1.2,0.01,4e6d995f25e70a9044a024e53f1a73a1301ff7c1e5869151529a70e9972c47d2
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:01:55,0.4,1.2,0.01,060f8cc0bb577a699be1e073e4612e82deb1cbfdee99832ce2bdb68f9dbe82b9
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:00,0.4,1.2,0.01,13e36c82ce733f55e18ae835f9bfde602cf0d979384c27ff298f9b0d2ec1b254
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:05,0.4,1.2,0.01,6137005d073a400fd9d5d42f4057a6972f72620e47f13354bd224c4507a54b84
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:10,0.4,1.2,0.01,bf35295e358bde6ace36150d228280a5877935cb3fa109974480dc93d8cb2742
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:15,0.4,1.2,0.01,0a0208fe0410003d1b146ece0406643d4713a24cfa48a7bd53f6c452ab3b65d4
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:20,0.4,1.2,0.01,906d7fd246371fd7c142eab9ee73da84bbb40ede01fa3598a7750a5a21254655
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:25,0.4,1.2,0.01,9089d6433a6028b8e7b96ce538eeb2b2a69defb83a4fe3906a0f41036e8a6c95
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:30,0.4,1.2,0.01,9747743995af84ff956b9249131d02eab1990bbbc53d6dfa5c953cd758f1a1d7
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:35,0.4,1.2,0.01,3471298cc32c5b901ad7bdd63765d5026a60230b5aba89c65c0919f06b86480b
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:40,0.4,1.2,0.01,91993cce7e0f8a0f2efb4da3365ad11a9f23c5a65fc084dd140d932b7e783d83
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:45,0.4,1.2,0.01,5e304f7507c380304e800c99d75c26bd4ae89ebe98c1e5e6ffb6477a6e9ef639
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:50,0.4,1.2,0.01,573cbd71464f17d11e96c4225eadcdd6175f8e420a0fdb0382cc71414243f99d
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:02:55,0.4,1.2,0.01,53f8bbe2fdee6c8957b74ca38fa23e403e629bbb5b5b17bd17d659a308fe64b0
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:00,0.4,1.2,0.01,61c5dd43e66247b1364bf2f41a1447b8e76c841af66442886e0126b3dfb37757
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:05,0.4,1.2,0.01,83b4602d03f5312824e7561d718ef32ab71c3007410e3aca06d1ecd60a531c00
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:10,0.4,1.2,0.01,e19dba69cc999c2f3af9e34b0b0c011c26cda1e58d5bb175ae295ad0e2e68b21
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:15,0.4,1.2,0.01,4959fc2ca260c11f46e3963b20cab8faeb629c8482edcba05566462cd81473e0
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:20,0.4,1.2,0.01,d6feebaf2a109385e250d9a7f160e59ad8d6bb79fbe42c6180b965755522c7aa
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:25,0.4,1.2,0.01,7b05430797bcd40b45c6dc68a8c961ff3805067bf67f481105bf3c990686e4a7
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:30,0.4,1.2,0.01,e05dc774a8674c539f78e906f26b5e1e46c47e0d0bae99d7069ebad1699996e3
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:35,0.4,1.2,0.01,b5675cfd36a568734983fa03df40a9a7c67f840bd825d0c9924aadf7814a0f1d
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:40,0.4,1.2,0.01,c8a1ed960047077dfe1cb70882825f4f4b5da21cc1730f8dcb6f35dac1aa3805
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:45,0.4,1.2,0.01,cda89afce1fe46686582055012303c5be88ccc5fd5252dd602778a312cac55c6
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:50,0.4,1.2,0.01,8ee5b7dbc4efc6c1cecbd5ba4d4fa58d26bf9d19dda681c7c8c61c9dc3519863
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:03:55,0.4,1.2,0.01,20a8039ba2d048f8a10fd0acad8e383da4951a326c21944a217ab83ada7ca20a
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:04:00,0.4,1.2,0.01,07116ae3d25c57c402735414c73276cdb782ee666bc9878bbf62471588cd2448
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:04:05,0.4,1.2,0.01,e4d498927bd63ac00cfb583381bd3d358fab3e874ae5ee9278c06d1d0f4b51fa
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:04:10,0.4,1.2,0.01,4fe6b52471c02ef59da425a0bcab8f2d86921010e56c99603de3e22c5e6a73a7
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:04:15,0.4,1.2,0.01,81d7a97d8a97ac4d4badcaa06ef5a6462b53e826aeb8f0a6643c9776552dca91
ZONE-01-AUTONOMIC-TREMOR,2026-06-01 00:04:20,0.4,1.2,0.01,51c0c77e3d7d762c8ab3d200e5b9df21db3549ea694f3f1c6f60e1dddabe9507
